variant,taxonomic_name,match_type
allophyllus abysssinica,allophylus abyssinicus,regex
allophylus abyssinicus,allophylus abyssinicus,regex
manihot scleroxylon,triplochiton scleroxylon,regex
actinidia deliciosa,actinidia deliciosa,regex
anthocleista shweinfurtii,anthocleista schweinfurthii,regex
apodytis dimiata,apodytes dimidiata,regex
jacaranda mimosaefolia,jacaranda mimosifolia,regex
jacaranda mimosifolia,jacaranda mimosifolia,regex
jacarandar copaia,jacaranda copaia,regex
boskia,boscia,exact
breonadia salicina,breonadia salicina,regex
casuarina equisetifolia,casuarina equisetifolia,regex
dobergia latifolia,dalbergia latifolia,regex
aubregrinia taiensis,aubregrinia taiensis,regex
faurea saligna,faurea saligna,regex
pitacolumbium,pithecellobium,regex
harongana madagascariensis,harungana madagascariensis,regex
harrungana madagariensis,harungana madagascariensis,regex
harungana madagarensis,harungana madagascariensis,regex
harungana madagariensis,harungana madagascariensis,regex
harungana madagascariensis,harungana madagascariensis,regex
haungana madagarensis,harungana madagascariensis,regex
intsia bijuga,intsia bijuga,regex
maesa lanceolata,maesa lanceolata,regex
maesa laseorata,maesa lanceolata,regex
pittosporum verticilatum,pittosporum verticilatum,regex
meru oak,vitex keniensis,regex
mexican green ash,fraxinus berlandieriana,regex
myrianthus holstii,myrianthus holstii,regex
mytragyna rubrostipulata,mytragyna rubrostipulata,regex
alstonia bronei,alstonia boonei,regex
afzelia africana,afzelia africana,regex
afzelia xylocarpa,afzelia xylocarpa,regex
pinus patula,pinus patula,regex
pinus kesiya,pinus kesiya,regex
polycias fluva,polyscias fulva,regex
polycias fulva,polyscias fulva,regex
polyscians fulva,polyscias fulva,regex
polyscias fulva,polyscias fulva,regex
polycius kikuyuensis,polyscias kikuyuensis,regex
polyscias kikuyuensis,polyscias kikuyuensis,regex
porospermum atrorufum,osteospermum atrorufum,regex
canarium madagascariensis,canarium madagascariensis,regex
raspberry,rubus,exact
tamarids,tamarindus indica,regex
tamarindas indica,tamarindus indica,regex
tamarinds,tamarindus indica,regex
tamarindus indica,tamarindus indica,regex
tarconanthus littiveli,tarchonanthus littoralis,regex
zanthoxylum gillettii,zanthoxylum gillettii,regex
tephrosia,tephrosia,exact
tephrosia sp,tephrosia,exact
tephrosia \(umuhunwa \),tephrosia,regex
calliandra callystrusus,calliandra calothyrsus,regex
calliandra calothyrsys,calliandra calothyrsus,regex
calliandra calothyrusus,calliandra calothyrsus,regex
calliandra calothysurs,calliandra calothyrsus,regex
calliandra collonthysus,calliandra calothyrsus,regex
raminhus perdinious,rhamnus prinoides,regex
brachlaena hutchinsii,brachylaena hutchinsii,regex
sterculia africana,sterculia africana,regex
excelsa sterculia,sterculia excelsa,regex
xeroderis shulmanai,xeroderris stuhlmannii,regex
xeroderris stuhlmannii,xeroderris stuhlmannii,regex
matilis guate,tabebuia rosea,regex
matilisguate,tabebuia rosea,regex
tabeiua rosea,tabebuia rosea,regex
tabeuia rosea,tabebuia rosea,regex
taubebia rosae,tabebuia rosea,regex
cortez,tabebuia ochracea,exact
encino,quercus virginiana,exact
pino,pinus,exact
puno,pinus,exact
rosul,dalbergia tucarensis,exact
dalbergia sissoo,dalbergia sissoo,regex
sheesham,dalbergia sissoo,regex
santa maria,calophyllum antillanum,exact
calophylon,calophyllum,exact
pachyra aquatica,pachira aquatica,exact
zapote de agua,pachira aquatica,exact
zapote de aqua,pachira aquatica,exact
mahua,madhuca longifolia,exact
madhuca indica,madhuca longifolia,regex
madhuca longifolia,madhuca longifolia,regex
bombax ceiba,bombax ceiba,regex
acokanthera oppositifolia,acokanthera oppositifolia,regex
acorcotheria oppositifolia,acokanthera oppositifolia,regex
afzelia bignioides,afzelia bipindensis,regex
afzelia bipidoides,afzelia bipindensis,regex
staudtia camerounensis,staudtia kamerunensis,regex
staudtia kamerounensis,staudtia kamerunensis,regex
nauclia dideritchii,nauclea diderrichii,regex
aegiceras corniculatum,aegiceras corniculatum,regex
amburana cearensis,amburana cearensis,regex
anadenanthera colubrina,anadenanthera colubrina,regex
aniba firmula,aniba firmula,regex
annona mucosa,annona mucosa,regex
apeiba tibourbou,apeiba tibourbou,regex
apuleia leiocarpa,apuleia leiocarpa,regex
astrocaryum huaimi,astrocaryum huaimi,regex
astronium lecointei,astronium lecointei,regex
astronium urundeuva,astronium urundeuva,regex
caderno de capoeira,astronium graveolens,regex
bagassa guianensis,bagassa guianensis,regex
bauhinia forficata,bauhinia forficata,regex
unha de cabra,bauhinia forficata,regex
bauhinia variegata,bauhinia variegata,regex
bertholletia excelsa,bertholletia excelsa,regex
bixa arborea,bixa arborea,regex
bixa orellana,bixa orellana,regex
byrsonima crispa,byrsonima crispa,regex
byrsonima cydoniifolia,byrsonima cydoniifolia,regex
byrsonima sericea,byrsonima sericea,regex
callophylum braisliense,calophyllum brasiliense,regex
calophiullum brasilienses,calophyllum brasiliense,regex
calophyllum brasieliense,calophyllum brasiliense,regex
calophyllum brasilienses,calophyllum brasiliense,regex
calophylum brasiliensis,calophyllum brasiliense,regex
canavalia ensiformis,canavalia ensiformis,regex
caryocar cf brasiliense,caryocar brasiliense,regex
pequi de capoeira,caryocar brasiliense,regex
cecropia hololeuca,cecropia hololeuca,regex
cercis canadensis,cercis canadensis,regex
chloroleucon cf mangense,chloroleucon mangense,regex
chrysophyllum splendes,chrysophyllum splendes,regex
clarisia racemosa,clarisia racemosa,regex
clitoria fairchildian,clitoria fairchildiana,regex
clusia cf spiritu-sanctensis,clusia spiritu-sanctensis,regex
copaifera langsdorffii,copaifera langsdorffii,regex
cornus,cornus,exact
coumo utilis,coumo utilis,regex
cupania vernalis,cupania vernalis,regex
cytharexyllum myrianthum,cytharexyllum myrianthum,regex
dialium guianense,dialium guianense,regex
dinizia excelsa,dinizia excelsa,regex
dipteryx guianensis,dipteryx odorata,regex
dipteryx odorata,dipteryx odorata,regex
dodoanea viscosa sub angustissima,dodonaea viscosa subsp. angustissima,regex
dodonaea viscosa angustissima,dodonaea viscosa subsp. angustissima,regex
dodonaea viscosa ssp angustissima,dodonaea viscosa subsp. angustissima,regex
dodonaea viscosa sub angustissima,dodonaea viscosa subsp. angustissima,regex
enterolobium contortisiliquum,enterolobium contortisiliquum,regex
enterolobium maximum,enterolobium maximum,regex
enterolobium timbouva,enterolobium timbouva,regex
eriotheca pentaphylla,eriotheca pentaphylla,regex
eugenia brasiliensis,eugenia brasiliensis,regex
eugenia florida,eugenia florida,regex
eugenia pyriformis,eugenia pyriformis,regex
eugenia stipitata,eugenia stipitata,regex
eugenia uniflora,eugenia uniflora,regex
euterpe oleracea,euterpe oleracea,regex
gallesia integrifolia,gallesia integrifolia,regex
garcinia cf gardneriana,garcinia gardneriana,regex
garcinia gardneriana,garcinia gardneriana,regex
garcinia macrophylla,garcinia macrophylla,regex
geissonspermum laeve,geissonspermum laeve,regex
genipa americana,genipa americana,regex
genipa infundibuliformis,genipa infundibuliformis,regex
guatteria australis,guatteria australis,regex
handroanthus vellosoi,handroanthus vellosoi,regex
hevea braseliensis,hevea brasiliensis,regex
hevea brasileinsis,hevea brasiliensis,regex
hevea brasiliensis,hevea brasiliensis,regex
hevea paraheba,hevea brasiliensis,regex
hymenaea courbaril,hymenaea courbaril,regex
inga cuil,inga inicuil,regex
inga cylindrica,inga cylindrica,regex
inga edulis,inga edulis,regex
inga laurina,inga laurina,regex
inga sessilis,inga sessilis,regex
inga marginata,inga marginata,regex
inga vera spuria,inga vera subsp. spuria,regex
ingas,inga,exact
inga vera wild,inga vera,regex
jacaranda copaia,jacaranda copaia,regex
johanesia princeps,johanesia princeps,regex
kandelia obovate,kandelia obovate,regex
liriodendron tulipifera,liriodendron tulipifera,regex
lodgepole pine,pinus contorta,regex
macrolobium acaciifolium,macrolobium acaciifolium,regex
macrolobium bifolium,macrolobium bifolium,regex
macrosamanea pedicellaris,macrosamanea pedicellaris,regex
manilkara salzmanii,manilkara salzmanii,regex
\bmanikara app\b,manilkara,regex
mauritia flexuosa,mauritia flexuosa,regex
melocanna bambusoides,melocanna bambusoides,regex
mezilaurus itauba,mezilaurus itauba,regex
myrcia rostrata,myrcia rostrata,regex
myrciaria dubia,myrciaria dubia,regex
oenocarpus bacaba,oenocarpus bacaba,regex
oenocarpus bataua,oenocarpus bataua,regex
ormosia excelsa,ormosia excelsa,regex
ormosia paraensis,ormosia paraensis,regex
parkia multijuga,parkia multijuga,regex
parkia pendula,parkia pendula,regex
pinus echinata,pinus echinata,regex
piptadenia gonoacantha,piptadenia gonoacantha,regex
plinia cauliflora,plinia cauliflora,regex
ponderosa pine,pinus ponderosa,regex
pouteria caimito,pouteria caimito,regex
pouteria macrophylla,pouteria macrophylla,regex
pouteria gardneri,pouteria gardneri,regex
pouteria adolfi-friedericii,pouteria adolfi-friedericii,regex
pouteria torta,pouteria torta,regex
pouteria villamilii,pouteria villamilii,regex
protium heptaphila,protium heptaphyllum,regex
protium heptaphyllum,protium heptaphyllum,regex
prunus serontina,prunus serontina,regex
quercus alba,quercus alba,regex
quercus prinus,quercus prinus,regex
robinia pseudoacacia,robinia pseudoacacia,regex
samanea tubulosa,samanea tubulosa,regex
sapindus saponaria,sapindus saponaria,regex
schinus terebenthifolia,schinus terebinthifolia,regex
schinus terebinthifolia,schinus terebinthifolia,regex
schinus terebinthifolius,schinus terebinthifolia,regex
schinus tereninthifolius,schinus terebinthifolia,regex
shinus terebentifolius,schinus terebinthifolia,regex
simarouba amara,simarouba amara,regex
spondias lutea,spondias lutea,regex
spondias mombin,spondias mombin,regex
spruce hybrid,picea,regex
sterculia chicha,sterculia chicha,regex
sterculia striata,sterculia striata,regex
stryphnodendron pulcherrimum,stryphnodendron pulcherrimum,regex
swartzia euxylophora,swartzia euxylophora,regex
tabebuia heptaphylla,tabebuia heptaphylla,regex
tabebuia impetiginosa,tabebuia impetiginosa,regex
tebeuia inpectinosa,tabebuia impetiginosa,regex
tabebuia serratifolia,tabebuia serratifolia,regex
tachigali guianensis,tachigali guianensis,regex
talisia esculenta,talisia esculenta,regex
tapirira guianensis,tapirira guianensis,regex
terminalia amazonia,terminalia amazonia,regex
terminalia corrugata,terminalia corrugata,regex
toulicia guianensis,toulicia guianensis,regex
trema micrantha,trema micranthum,regex
trembling aspen,populus tremuloides,regex
viburnum,viburnum,regex
leptolobium nitens,leptolobium nitens,regex
puteria torta,puteria torta,regex
mimusops coriacea,mimusops coriacea,regex
acacia dealbata dealbata,acacia dealbata subsp. dealbata,exact
aegiphila integrifolia,aegiphila intergrifolia,regex
aegiphila intergrifolia,aegiphila intergrifolia,regex
albizia niopoides,albizia niopoides,regex
alchornea triplinervia,alchornea triplinervia,regex
allophyllus edulis,allophyllus edulis,regex
amburana acreana,amburana acreana,regex
protium heptaphilla,protium heptaphilla,regex
anadenanthera macrocarpa,anadenanthera macrocarpa,regex
anadenanthera peregrina,anadenanthera peregrina,regex
andira fraxinifolia,andira fraxinifolia,regex
anadenanthera eregrina,anadenanthera eregrina,regex
adenanthera pavonia,adenanthera pavonina,regex
adenatera pavaronica,adenanthera pavonina,regex
adenatera pavonina,adenanthera pavonina,regex
adenatera pavoronica,adenanthera pavonina,regex
adenathera pavaronica,adenanthera pavonina,regex
adenathera pavonica,adenanthera pavonina,regex
adenathera pavonina,adenanthera pavonina,regex
annona coriaceae,annona coriaceae,regex
\baraca\b,psidium,regex
arapatiella psilophilla,arapatiella psilophylla,regex
arapatiella psilophylla,arapatiella psilophylla,regex
schinus terebentifolius,schinus terebinthifolius,regex
brosimum alicastrum,brosimum alicastrum,regex
caesalpinea echinata,caesalpinea echinata,regex
caesalpinea ferrea,caesalpinea ferrea,regex
caesalpinia eriostachys,caesalpinia eriostachys,regex
peltophorum dubium,peltophorum dubium,regex
canela folha longa,ocotea puberula,regex
cariniana estre,cariniana estrellensis,regex
cariniana estrellensis,cariniana estrellensis,regex
cariniana legalis,cariniana legalis,regex
cariniana micrantha,cariniana micrantha,regex
jacaranda micrantha,jacaranda micrantha,regex
jacaranda brasiliana,jacaranda brasiliana,regex
castilla ulei,castilla ulei,regex
cecropia pachystachya,cecropia pachystachya,regex
cecropiapachystachya,cecropia pachystachya,regex
ceiba aesculifolia parvifolia,ceiba aesculifolia subsp parvifolia,regex
ceiba aesculifolia,ceiba aesculifolia,regex
ceiba pubiflora,ceiba pubiflora,regex
citarexilum mirianthum,citharexylum myrianthum,regex
citarexylum myrianthum,citharexylum myrianthum,regex
citharexylum myrianthum,citharexylum myrianthum,regex
cochlolospermun vitifolium,cochlospermum vitifolium,regex
cochlospermum vitifolium,cochlospermum vitifolium,regex
cochlospermun vitifolium,cochlospermum vitifolium,regex
colubrina glandulosa,colubrina glandulosa,regex
combretum leprosum,combretum leprosum,regex
copafera grycycarpa,copaifera glycycarpa,regex
copaifera lucens,copaifera lucens,regex
cordia magnoliifolia,cordia magnoliifolia,regex
cordia trichotoma,cordia tricothoma,regex
cordia tricothoma,cordia tricothoma,regex
couratari guianensis,couratari guianensis,regex
croton floribundus,croton floribundus,regex
croton lechleri,croton lechleri,regex
croton urucurana,croton urucurana,regex
cyntharexyllum myrianthum,citharexylum myrianthum,regex
cytharexyllum myrianthum,citharexylum myrianthum,regex
pau viola,citharexylum myrianthum,regex
dalbergia nigra,dalbergia nigra,regex
dhypisa americana,diphysa americana,regex
diphisa americana,diphysa americana,regex
diphisa amerina,diphysa americana,regex
diphysa americana,diphysa americana,regex
diplotropis purpurea,diplotropis purpurea,regex
dracaena,dracaena,exact
dracenna,dracaena,exact
entada chrystachys,entada chrysostachys,regex
entada strichnostachy,entada chrysostachys,regex
intada strichnostachys,entada chrysostachys,regex
enterolobium ciclocarpum,enterolobium cyclocarpum,regex
enterolobium cyclocarp,enterolobium cyclocarpum,regex
enterolobium cyclocarpum,enterolobium cyclocarpum,regex
enterolobium schomburgkii,enterolobium schomburgkii,regex
erythrophleum graeveolens,erythrophleum suaveolens,regex
erythrophleum graveolens,erythrophleum suaveolens,regex
erythrophleum suaveolensaf,erythrophleum suaveolens,regex
erythropleum graveolo,erythrophleum suaveolens,regex
eschweilera ovata,eschweilera ovata,regex
euterpe precatoria,euterpe precatoria,regex
gilberiodendron dewevrii,gilbertiodendron dewevrei,regex
gilbertiodendron dewevrii,gilbertiodendron dewevrei,regex
gilbertiondendron dewevrii,gilbertiodendron dewevrei,regex
gilbertodendrion dewevrii,gilbertiodendron dewevrei,regex
gilbertodendron dewevrii,gilbertiodendron dewevrei,regex
astronium fraxinifolium,astronium fraxinifolium,regex
guapira opposita,guapira opposita,regex
guatemala ulmifolia,guazuma ulmifolia,regex
guazuma ulmifolia,guazuma ulmifolia,regex
guibourtha demeusii,guibourtia demeusei,regex
guibourthia demeusii,guibourtia demeusei,regex
guibourtia demeusei,guibourtia demeusei,regex
guibourtia demeusi,guibourtia demeusei,regex
guibourtia demeusii,guibourtia demeusei,regex
handroanthus impetiginosus,handroanthus impetiginosus,regex
himatanthus phagedaenicu,himatanthus phagedaenicus,regex
homalium trichostemon,homalium trichostemon,regex
humira balsamifera,humira balsamifera,regex
hymenaea parvifolia,hymenaea parvifolia,regex
hymenolobium petreum,hymenolobium petreum,regex
zeyheria tuberculosa,zeyheria tuberculosa,regex
ipe verde,cybistax antisyphilitica,regex
jabuti de macaco,hymenolobium sericeum,regex
jaracatia spinosa,jaracatia spinosa,regex
joannesia princeps,joannesia princeps,regex
euterpe edulis,euterpe edulis,regex
kunzeaspp,kunzea,regex
lecythis pisonis,lecythis pisonis,regex
leptospermumspp,leptospermum,regex
lichi,litchi chinensis,exact
litchi sinensis,litchi chinensis,exact
litchi chinensis,litchi chinensis,regex
liqui dambar,liquidambar,exact
machaerium nictitans,machaerium nictitans,regex
margaritaria nobilis,margaritaria nobilis,regex
mimosa bimucronata,mimosa bimucronata,regex
maytenus obtusifolia,maytenus obtusifolia,regex
micropholis venulosa,micropholis venulosa,regex
mimosa caesalpinifolia,mimosa caesalpiniifolia,regex
mimosa caesalpiniifolia,mimosa caesalpiniifolia,regex
nectandra rubra,nectandra rubra,regex
nuxia capitata,nuxia capitata,regex
ochroma pyramidale,ochroma pyramidale,regex
ormosia arborea,ormosia arborea,regex
parahancornia fasciculata,parahancornia fasciculata,regex
paramacrolobium coelucum,paramacrolobium coeruleum,regex
paramacrolobium coelureum,paramacrolobium coeruleum,regex
paramacrolobium coeru,paramacrolobium coeruleum,regex
paubrasilia echinata,paubrasilia echinata,regex
cyntharexyllum myrianthum,cyntharexyllum myrianthum,regex
caesalpinia ferrea,caesalpinia ferrea,regex
triplaris amaericana,triplaris amaericana,regex
peltorphoorium dubium,peltophorum dubium,regex
pentachlethra macrophylla,pentaclethra macrophylla,regex
pentaclehtra macrophilla,pentaclethra macrophylla,regex
pentaclehtra macrophylla,pentaclethra macrophylla,regex
pentaclethra macrophilla,pentaclethra macrophylla,regex
peschiera fuchsiaefolia,peschiera fuchsiaefolia,regex
piptadenia paniculata,piptadenia paniculata,regex
plathymenia reticulata,plathymenia reticulata,regex
platimenia reticulata,plathymenia reticulata,regex
platymenia reticulata,plathymenia reticulata,regex
plathymenia foliolosa,plathymenia foliolosa,regex
platymenia foliolosa,plathymenia foliolosa,regex
platymiscium aff hebestachyum,platymiscium hebestachyum,regex
poeppgia procera,poeppgia procera,regex
pourouma guianensis,pourouma guianensis,regex
priora balsamifera,prioria balsamifera,regex
protium aracouchini,protium aracouchini,regex
pseudobombax grandiflorum,pseudobombax grandiflorum,regex
pseudobombax munguba,pseudobombax munguba,regex
pseudolmedia laevis,pseudolmedia laevis,regex
psidium cattleanum,psidium cattleianum,regex
psidium cattleianum,psidium cattleianum,regex
psidium myrtoides,psidium myrtoides,regex
psidium rufum,psidium rufum,regex
pterigota brasiliensis,pterigota brasiliensis,regex
centrolobium microcaete,centrolobium microcaete,regex
pterocarpus rohrii,pterocarpus rohrii,regex
rapanea ferruginea,rapanea ferruginea,regex
schefflera morototoni,schefflera morototoni,regex
schysolobium parayba,schizolobium parahyba,regex
scizolobium parahyba,schizolobium parahyba,regex
senegalia polyphylla,senegalia polyphylla,regex
senna alata,senna alata,regex
senna macranthera,senna macranthera,regex
senna multijuga,senna multijuga,regex
socratea exorrhiza,socratea exorrhiza,regex
sparattanthelium botocudorum,sparattanthelium botocudorum,regex
sparattosperma leucanthum,sparattosperma leucanthum,regex
spondias macrocarpa,spondias macrocarpa,regex
spondias venulosa,spondias venulosa,regex
tabebuia chrysanthav,tabebuia chrysanthus,regex
terminalia fagifolia,terminalia fagifolia,regex
terminalia tetraphylla,terminalia tetraphylla,regex
theobrama speciosum,theobrama speciosum,regex
thyrsodium schomburgkianum,thyrsodium schomburgkianum,regex
tibouchina granulosa,tibouchina granulosa,regex
trattinickia rhoifolia,trattinickia rhoifolia,regex
vataireopsis araroba,vataireopsis araroba,regex
virola venosa,virola venosa,regex
ziera arboresence,zieria arborescens,regex
zieria arboresence,zieria arborescens,regex
ziziphus mucronata,ziziphus mucronata,regex
albizia adiantifolia,albizia adianthifolia,regex
albizia aldantifolia,albizia adianthifolia,regex
albizia aldantifolio,albizia adianthifolia,regex
albizia andianthifolia,albizia adianthifolia,regex
albizia antelhelmitica,albizia anthelmintica,regex
disthamenanthus bentamianus,distemonanthus benthamianus,regex
crateva andansonii subsp odorata,crateva adansonii subsp. odora,regex
peltogyne vogel,peltogyne,regex
pseudosamanea tabaco,pseudosamanea,regex
pterogyne nitens,pterogyne nitens,regex
tabernaemontana catharinensis,tabernaemontana catharinensis,regex
andira legalis,andira legalis,regex
chorisia specios,chorisia speciosa,regex
albizia sp,albizia,exact
cassia sp,cassia,exact
cedrela spp,cedrela,exact
ekerbagia capensis,ekebergia capensis,regex
ekerbergia kapensis,ekebergia capensis,regex
eucalyptus maideni,eucalyptus maidenii,regex
ficus eriobotryoidesa,eriobotrya japonica,regex
markamia lutea,markhamia lutea,regex
vachellia abyssinica,vachellia abyssinica,regex
aegle marmelous,aegle marmelos,regex
allocasuarina verticiallata,allocasuarina verticillata,regex
allocasurina verticillata,allocasuarina verticillata,regex
alnus acuminata,alnus acuminata,regex
alnus acuminate,alnus acuminata,regex
alnus acumita,alnus acuminata,regex
alnus acumunata,alnus acuminata,regex
\baaonla\b,phyllanthus emblica,regex
\baonla\b,phyllanthus emblica,regex
aonlan,phyllanthus emblica,regex
phyllanthus emblica,phyllanthus emblica,regex
anogeissus leiocarpus,anogeissus leiocarpus,regex
arjun,terminalia arjuna,regex
antrocaryon klaenea,antrocaryon klaineanum,regex
antrocaryon klaeneanum,antrocaryon klaineanum,regex
baie rose,euonymus phellomanus,regex
sesbanie sesban,sesbania sesban,regex
\bchindora\b,chindora,regex
\bchopwa\b,chopwa,regex
\bcombuja\b,pouteria butyrocarpa,regex
crudia zeylanica,crudia zeylanica,regex
andira anthelmia,andira anthelmia,regex
diospyros cambodiana,diospyros cambodiana,regex
\bkachere\b,ficus cyathistipula,regex
lochroma arborescens,lochroma arborescens,regex
mabea fistulifera,mabea fistulifera,regex
mallotus plicatus,mallotus plicatus,regex
martiodendron elatun,martiodendron elatun,regex
\bmgoza\b,perculia africana,regex
\bmimosia\b,jacaranda macrantha,regex
\bmulora\b,mulora,regex
myracrodruon urundeuva,myracrodruon urundeuva,regex
paralonchurus brasiliensis,margaritaria nobilis,regex
parapiptadenia rigida,parapiptadenia rigida,regex
paraptadenia rigida,parapiptadenia rigida,regex
peltogyne peniculata,peltogyne peniculata,regex
peltogyne venosa densiflora,peltogyne venosa subsp. densiflora,regex
picea engelmannii,picea engelmannii,regex
terminalia cambodiana,terminalia cambodiana,regex
aquilaria crassna,aquilaria crassna,regex
aquilaria malaccensis,aquilaria malaccensis,regex
cinnamomum porrectum,cinnamomum porrectum,regex
cotylelobium lanceolatum,cotylelobium lanceolatum,regex
dalbergia cochinchinensis,dalbergia cochinchinensis,regex
dalbergia cultrata,dalbergia cultrata,regex
dalbergia oliveri,dalbergia oliveri,regex
dalbergia parviflora,dalbergia parviflora,regex
elaeocarpus randifloras,elaeocarpus randifloras,regex
erythrina variegate,erythrina variegate,regex
fagraea fragrans,fagraea fragrans,regex
gynoxys aff pillahuatensis,gynoxys pillahuatensis,regex
hopea ferrea,hopea ferrea,regex
hopea odorata,hopea odorata,regex
koompassia excelsa,koompassia excelsa,regex
lagerstroemia speciosa,lagerstroemia speciosa,regex
lagerstroemia loudonii,lagerstroemia loudonii,regex
neolamarckia cadamba,neolamarckia cadamba,regex
pterocarpus macrocarpus,pterocarpus macrocarpus,regex
schleichera oleosa,schleichera oleosa,regex
shorea obtusa,shorea obtusa,regex
shorea siamensis,shorea siamensis,regex
sindora siamensis,sindora siamensis,regex
\bbaheda\b,terminalia bellirica,regex
terminalia bellirica,terminalia bellirica,regex
xylia xylocarpa,xylia xylocarpa,regex
comb trifoliatum,combretum trifoliatum,regex
combr trifoliatum,combretum trifoliatum,regex
combre trifoliatum,combretum trifoliatum,regex
combret trifoliatum,combretum trifoliatum,regex
combretu trifoliatum,combretum trifoliatum,regex
sinfonia globilifera,symphonia globulifera,regex
sinfonia grandifolia,symphonia globulifera,regex
synfonia globilifera,symphonia globulifera,regex
classifica̤̣o superior: annona,annona,regex
lafoensia pacari,lafoensia pacari,regex
resinosa richardii,rosa richardii,regex
tabebuia roseoalba,tabebuia roseoalba,regex
xanthorcesis zambeasiaca,xanthocercis zambesiaca,regex
xanthorcesis zambesiaca,xanthocercis zambesiaca,regex
tamarugo,strombocarpa tamarugo,exact
fermisiana mesquite,neltuma juliflora,exact
styrax hasseltia,styrax,regex
aavla,phyllanthus emblica,regex
awla,phyllanthus emblica,regex
indian gooseberry,phyllanthus emblica,regex
chironji,buchanania lanzan,regex
dalbergia sisoo,dalbergia sisoo,regex
sesbania grandiflora,sesbania grandiflora,regex
vachellia leucophloea,vachellia leucophloea,regex
harra,terminalia cherbula,exact
acacia catechu,senegalia catechu,regex
dichanthium annulatum,dichanthium annulatum,regex
sapindus trifoliatus,sapindus trifoliatus,regex
seasame,sesamum indicum,exact
androya decaryi,androya decaryi,regex
barringtonia acutangular,barringtonia acutangula,regex
canarium boivini,canarium boivini,regex
crataeva excelsa,crataeva excelsa,regex
cupania cf vernalis,cupania vernalis,regex
ficus baroni,ficus baroni,regex
ficus megapoda,ficus megapoda,regex
leea guineengis,leea guineengis,regex
pourpatria caffra,pourpatria caffra,regex
protorhus grandidieri,protorhus grandidieri,regex
reseodendro donnell,roseodendron donnell-smithii,regex
reseodendron donnell,roseodendron donnell-smithii,regex
roseodendron donnell,roseodendron donnell-smithii,regex
tabebuia donnel,roseodendron donnell-smithii,regex
tabebuia donnel smithii,roseodendron donnell-smithii,regex
tabebuia donnel-smithii,roseodendron donnell-smithii,regex
tabebuia donnell,roseodendron donnell-smithii,regex
tabebuia donnell-smithii,roseodendron donnell-smithii,regex
tabebuila donnnell,roseodendron donnell-smithii,regex
tebebuia donell,roseodendron donnell-smithii,regex
tapiriria guianens,tapirira guianensis,regex
weinmannia decera,weinmannia decera,regex
voats,piper borbonense,exact
voatsi,piper borbonense,exact
acacia milleniana,acacia milleriana,regex
acacia milleriana,acacia milleriana,regex
elaeocarpus pseudo macaranga,elaeocarpus,exact
diospyros kaki,diospyros kaki,regex
bapeba de nervura,ecclinusa ramiflora,regex
bapeba branca,pouteria bapeba,regex
byrsonima verbascifolia,byrsonima verbascifolia,regex
citrus hystrix,citrus hystrix,regex
annona silvestris,annona silvestris,regex
burselas simaruba,annona silvestris,regex
brursera cimagura,bursera simaruba,regex
brysonima alicastrum,brosimum alicastrum,regex
cordea oleadora,cordia alliodora,regex
cordia alliodora,cordia alliodora,regex
cordial allidora,cordia alliodora,regex
cuercus,quercus,exact
cuercus plantae,quercus,regex
dombeya lucida,dombeya lucida,regex
dracaena madagascariensis,dracaena marginata,regex
erictrina poepitiana,erythrina poeppigiana,regex
eritrina poepitiana,erythrina poeppigiana,regex
eucalyptus radiata,eucalyptus radiata,regex
eucalyptus viminalis pyroriana,eucalyptus viminalis subsp. pyroriana,regex
farinha seca,jujpunba langsdorffii,regex
gameleira vermelha,ficus insipida,regex
hyeromina alchorneoides,hieronyma alchorneoides,regex
jacaranda semisserrata,jacaranda semisserrata,regex
jaratropa curvas,jatropha curcas,regex
justica,justicia,exact
laurel silvestre,litsea glaucescens,regex
leptospernum contentinale,leptospermum continentale,regex
majuelos carataegus,crataegus monogyna,regex
makus,malus,exact
byrsinomia crassifolia,byrsonima crassifolia,regex
byrsonina crassifolia,byrsonima crassifolia,regex
murici da praia,byrsonima crassifolia,regex
palo balsa,ochroma pyramidale,regex
pau dalho,gallesia integrifolia,regex
pau pombo,tapirira guianensis,regex
pau sangue,pterocarpus vernalis,regex
pino oocarpa,pinus oocarpa,regex
platymisciun dimhorphan,platymiscium dimorphandrum,regex
polyclea nodosa,polyscias nodosa,regex
sclerocarya birrea,sclerocarya birrea,regex
syzigum verracusum,syzygium verrucosum,regex
syzyguim armoticum,syzygium aromaticum,regex
tabernaemontana donnell,tabernaemontana donnell-smithii,regex
thestostroemia dentata,ternstroemia dentata,regex
xylopia frutescens,xylopia frutescens,regex
zanthoxylum nemorale,zanthoxylum nemorale,regex
baudouina flugeiformis,baudouinia flueggeiformis,regex
baudouinia fluggeiformis,baudouinia flueggeiformis,regex
baundonia flugguformis,baudouinia flueggeiformis,regex
crhysopyllum cainito,chrysophyllum cainito,regex
crisophyllum cainito,chrysophyllum cainito,regex
crisophyllum cainitu,chrysophyllum cainito,regex
eugennia aff,eugenia affinis,exact
juerana branca,hydrochorea pedicellaris,regex
nectandra membranacea,nectandra membranacea,regex
parmentiera aculeata,parmentiera aculeata,regex
senefeldera multiflora,senefeldera multiflora,regex
syagrus botryophora,syagrus botryophora,regex
nephelium philippinense,nephelium lappaceum,regex
quercus encino,quercus oleoides,regex
