priority,regex_source_column,exact_source_column,regex_pattern,exact_values,canonical_name,original_condition
149,species_normalized,,passiflora ligularis,,passiflora ligularis,"str_detect(tree_species_name_clean, ""passiflora ligularis"")"
150,species_normalized,,philosyigma thonnongi|piliostigma thonningi|piliostigma thonning|\bmufele\b,,piliostigma thonningii,"str_detect(           tree_species_name_clean,           ""philosyigma thonnongi|piliostigma thonningi|piliostigma thonning|\\bmufele\\b""         )"
151,species_normalized,,pidgeon pea|pigeon pea|cajanus cajan,,cajanus cajan,"str_detect(           tree_species_name_clean,           ""pidgeon pea|pigeon pea|cajanus cajan""         )"
152,species_normalized,,mkpen|pterocarpus erinaceus,,pterocarpus erinaceus,"str_detect(tree_species_name_clean, ""mkpen|pterocarpus erinaceus"")"
153,species_normalized,,mimuspos kummel,,mimuspos kummel,"str_detect(tree_species_name_clean, ""mimuspos kummel"")"
154,species_normalized,,pear packham's triumph|pyrus communis,,pyrus communis,"str_detect(           tree_species_name_clean,           ""pear packham's triumph|pyrus communis""         )"
155,species_normalized,,\bpumpkin\b|\bpumpkins\b|\bcourge\b,,cucurbita pepo,"str_detect(           tree_species_name_clean,           ""\\bpumpkin\\b|\\bpumpkins\\b|\\bcourge\\b""         )"
156,species_normalized,,rahminus prinoides,,rhamnus prinoides,"str_detect(tree_species_name_clean, ""rahminus prinoides"")"
157,species_normalized,species_normalized,ricinodendron heulotii|ricinodondron heudeleuti|ricinodondron heudelotii|ricinodendron heudelotii|ricinodendron heudoletii|ricinodendrom heudelotti|ricinodendron heudelott|ricinodendron heudelotti,akpi,ricinodendron heudelotii,"str_detect(           tree_species_name_clean,           ""ricinodendron heulotii|ricinodondron heudeleuti|ricinodondron heudelotii|ricinodendron heudelotii|ricinodendron heudoletii|ricinodendrom heudelotti|ricinodendron heudelott|ricinodendron heudelotti""         ) |           tree_species_name_clean %in% c(""akpi"")"
158,species_normalized,,sausage tree|\bkigelia\b|kigelia africana|kigeria africana,,kigelia africana,"str_detect(           tree_species_name_clean,           ""sausage tree|\\bkigelia\\b|kigelia africana|kigeria africana""         )"
159,species_normalized,,sorghum moench|sorghum mohench,,sorghum bicolor,"str_detect(tree_species_name_clean, ""sorghum moench|sorghum mohench"")"
160,species_normalized,,le sorg|sorgho,,sorghum,"str_detect(tree_species_name_clean, ""le sorg|sorgho"")"
161,species_normalized,,sunflowers,,helianthus annuus,"str_detect(tree_species_name_clean, ""sunflowers"")"
162,species_normalized,,sweet potato|patate douce|\bmatembela\b|\bmatembele\b,,ipomoea batatas,"str_detect(           tree_species_name_clean,           ""sweet potato|patate douce|\\bmatembela\\b|\\bmatembele\\b""         )"
163,species_normalized,,\bpotato\b|irish potatoes,,solanum tuberosum,"str_detect(tree_species_name_clean, ""\\bpotato\\b|irish potatoes"")"
164,species_normalized,,mbogabuchungu|mbogabughungu|mbogabushungu,,solanum macrocarpon,"str_detect(           tree_species_name_clean,           ""mbogabuchungu|mbogabughungu|mbogabushungu""         )"
165,species_normalized,,vetiver grass,,chrysopogon zizanioides,"str_detect(tree_species_name_clean, ""vetiver grass"")"
166,species_normalized,,triplochiton scleroxylon|ayous,,triplochiton scleroxylon,"str_detect(tree_species_name_clean, ""triplochiton scleroxylon|ayous"")"
167,species_normalized,,dioscorea hirtiflora|busala tuber,,dioscorea hirtiflora,"str_detect(tree_species_name_clean, ""dioscorea hirtiflora|busala tuber"")"
168,species_normalized,,dioscorea|ignames,,dioscorea,"str_detect(tree_species_name_clean, ""dioscorea|ignames"")"
169,species_normalized,,lucern,,medicago sativa,"str_detect(tree_species_name_clean, ""lucern"")"
170,species_normalized,,irvingia gabonensis,,irvingia gabonensis,"str_detect(tree_species_name_clean, ""irvingia gabonensis"")"
171,species_normalized,,tieghemella heckelii,,tieghemella heckelii,"str_detect(tree_species_name_clean, ""tieghemella heckelii"")"
172,species_normalized,species_normalized,\bcocoa\b|theobroma cacao|\bcacao\b|theobroma caoa|theobroma cocoa|theobroma ca|theobroma caacao|theobroma caca,theo,theobroma cacao,"str_detect(           tree_species_name_clean,           ""\\bcocoa\\b|theobroma cacao|\\bcacao\\b|theobroma caoa|theobroma cocoa|theobroma ca|theobroma caacao|theobroma caca""         ) |           tree_species_name_clean %in% c(""theo"")"
173,species_normalized,,coconut|coconuts|coccos nucifera|cocos nucifera|cocus nucifera,,cocos nucifera,"str_detect(           tree_species_name_clean,           ""coconut|coconuts|coccos nucifera|cocos nucifera|cocus nucifera""         )"
174,species_normalized,,pomagranate|pomegranate,,punica granatum,"str_detect(tree_species_name_clean, ""pomagranate|pomegranate"")"
175,species_normalized,,cabbage|kale|brocoli,,brassica oleracea,"str_detect(tree_species_name_clean, ""cabbage|kale|brocoli"")"
176,species_normalized,,grevillea robusts|grevillea robusta|\bgrevillea\b|southern silky oak|grevilea robusta|grevilea robista|grievelia robusta,,grevillea robusta,"str_detect(           tree_species_name_clean,           ""grevillea robusts|grevillea robusta|\\bgrevillea\\b|southern silky oak|grevilea robusta|grevilea robista|grievelia robusta""         )"
177,species_normalized,species_normalized,tectona grandis,sal || sagaun || teak,tectona grandis,"str_detect(tree_species_name_clean, ""tectona grandis"") |           tree_species_name_clean %in% c(""sal"", ""sagaun"", ""teak"")"
178,species_normalized,,mivule|milicia excelsa|milecia excelsa|millecia excelsa,,milicia excelsa,"str_detect(           tree_species_name_clean,           ""mivule|milicia excelsa|milecia excelsa|millecia excelsa""         )"
179,species_normalized,,capsicum frutescens,,capsicum frutescens,"str_detect(tree_species_name_clean, ""capsicum frutescens"")"
180,species_normalized,,\bpepper\b|\bpoivrier\b,,piper nigrum,"str_detect(tree_species_name_clean, ""\\bpepper\\b|\\bpoivrier\\b"")"
181,species_normalized,,\bbirch\b,,betula,"str_detect(tree_species_name_clean, ""\\bbirch\\b"")"
182,species_normalized,,celery,,apium graveolens,"str_detect(tree_species_name_clean, ""celery"")"
183,species_normalized,,grewia bicolar,,grewia bicolor,"str_detect(tree_species_name_clean, ""grewia bicolar"")"
184,species_normalized,species_normalized,,maple,acer,"tree_species_name_clean %in% c(""maple"")"
185,species_normalized,,acer saccharum,,acer saccharum,"str_detect(tree_species_name_clean, ""acer saccharum"")"
186,species_normalized,,haricot|phaseoulus beans,,phaseolus vulgaris,"str_detect(tree_species_name_clean, ""haricot|phaseoulus beans"")"
187,species_normalized,,leucaena leucocephala|leuceana lycocefala|luceana leucocephala|leuceana leucocephala|leuceana lycocefala|leucaena lecocephala|leucaena leucecephala|leucaena leucocephiala|leucaena leucpcephala|luceane lococifra|leucaena lecena|leucaena cena,,leucaena leucocephala,"str_detect(           tree_species_name_clean,           ""leucaena leucocephala|leuceana lycocefala|luceana leucocephala|leuceana leucocephala|leuceana lycocefala|leucaena lecocephala|leucaena leucecephala|leucaena leucocephiala|leucaena leucpcephala|luceane lococifra|leucaena lecena|leucaena cena""         )"
188,species_normalized,,manioc|manihot esculenta,,manihot esculenta,"str_detect(tree_species_name_clean, ""manioc|manihot esculenta"")"
189,species_normalized,,markhamia ob,,markhamia obtusifolia,"str_detect(tree_species_name_clean, ""markhamia ob"")"
190,species_normalized,,vigna unguiculata|niebe,,vigna unguiculata,"str_detect(tree_species_name_clean, ""vigna unguiculata|niebe"")"
191,species_normalized,,rosemary,,salvia rosmarinus,"str_detect(tree_species_name_clean, ""rosemary"")"
192,species_normalized,,prekese|tetrapleura tetraptera|tetrapleura tetrapetra,,tetrapleura tetraptera,"str_detect(           tree_species_name_clean,           ""prekese|tetrapleura tetraptera|tetrapleura tetrapetra""         )"
193,species_normalized,,spinach,,spinacia oleracea,"str_detect(tree_species_name_clean, ""spinach"")"
194,species_normalized,,colocasia esculenta,,colocasia esculenta,"str_detect(tree_species_name_clean, ""colocasia esculenta"")"
195,species_normalized,,\bananas\b,,ananas comusus,"str_detect(tree_species_name_clean, ""\\bananas\\b"")"
196,species_normalized,,calotropis procera|calostropis procera|sodom apple,,calotropis procera,"str_detect(           tree_species_name_clean,           ""calotropis procera|calostropis procera|sodom apple""         )"
197,species_normalized,,guajava|psidium guajava|guava|pisdium goyava|psidium guayava|psidium guayana|goyavia psidium,,psidium guajava,"str_detect(           tree_species_name_clean,           ""guajava|psidium guajava|guava|pisdium goyava|psidium guayava|psidium guayana|goyavia psidium""         )"
198,species_normalized,,amaranth|lengalenga,,amaranth,"str_detect(tree_species_name_clean, ""amaranth|lengalenga"")"
199,species_normalized,,\bwillow\b|salix \(various native vars\),,salix,"str_detect(           tree_species_name_clean,           ""\\bwillow\\b|salix \\(various native vars\\)""         )"
200,species_normalized,,casimiroa edulis|white sapote,,casimiroa edulis,"str_detect(tree_species_name_clean, ""casimiroa edulis|white sapote"")"
201,species_normalized,,semia chlorophora,,chlorophora excelsa,"str_detect(tree_species_name_clean, ""semia chlorophora"")"
202,species_normalized,,paradise apple,,malus dasyphylla,"str_detect(tree_species_name_clean, ""paradise apple"")"
203,species_normalized,,ziziphus morticians|ziziphus morticians|ziziphusmoriciana|ziziphus moriciana|ziziphus mauritiana,,ziziphus mauritiana,"str_detect(           tree_species_name_clean,           ""ziziphus morticians|ziziphus morticians|ziziphusmoriciana|ziziphus moriciana|ziziphus mauritiana""         )"
204,species_normalized,,\briz\b,,rhizophora,"str_detect(tree_species_name_clean, ""\\briz\\b"")"
205,species_normalized,,\bhazombato\b,,kalanchoe orgyalis,"str_detect(tree_species_name_clean, ""\\bhazombato\\b"")"
206,species_normalized,,mitrigyna librostipulosa,,mitragyna stipulosa,"str_detect(tree_species_name_clean, ""mitrigyna librostipulosa"")"
207,species_normalized,,picralima nitida,,picralima nitida,"str_detect(tree_species_name_clean, ""picralima nitida"")"
208,species_normalized,,capsicum annuum|\bpimiento\b,,capsicum annuum,"str_detect(tree_species_name_clean, ""capsicum annuum|\\bpimiento\\b"")"
209,species_normalized,,eriobotrya,,eriobotrya japonica,"str_detect(tree_species_name_clean, ""eriobotrya"")"
210,species_normalized,species_normalized,,gombo || okro || okra,abelmoschus esculentus,"tree_species_name_clean %in% c(""gombo"", ""okro"", ""okra"")"
211,species_normalized,,\btavia\b,,rhopalocarpus coriaceus,"str_detect(tree_species_name_clean, ""\\btavia\\b"")"
212,species_normalized,,\bsarimanga\b,,noronhia,"str_detect(tree_species_name_clean, ""\\bsarimanga\\b"")"
213,species_normalized,,\bwarburgia\b|wambugia ugamdemesse,,warburgia ugandensis,"str_detect(           tree_species_name_clean,           ""\\bwarburgia\\b|wambugia ugamdemesse""         )"
214,species_normalized,,\bphilenoptera\b,,philenoptera violacea,"str_detect(tree_species_name_clean, ""\\bphilenoptera\\b"")"
215,species_normalized,,\boryza\b,,oryza sativa,"str_detect(tree_species_name_clean, ""\\boryza\\b"")"
216,species_normalized,,\bgmelina\b|\bkhameer\b|\bkhamhar\b,,gmelina arborea,"str_detect(tree_species_name_clean, ""\\bgmelina\\b|\\bkhameer\\b|\\bkhamhar\\b"")"
217,species_normalized,,\bceriops\b,,ceriops tagal,"str_detect(tree_species_name_clean, ""\\bceriops\\b"")"
218,species_normalized,species_normalized,prunus africana|prumus africana,prunus || prunas,prunus africana,"tree_species_name_clean %in% c(""prunus"", ""prunas"") |           str_detect(tree_species_name_clean, ""prunus africana|prumus africana"")"
219,species_normalized,,prunus persic,,prunus persica,"str_detect(tree_species_name_clean, ""prunus persic"")"
220,species_normalized,,prunus domestica|prunier,,prunus domestica,"str_detect(tree_species_name_clean, ""prunus domestica|prunier"")"
221,species_normalized,,prunus serotina,,prunus serotina,"str_detect(tree_species_name_clean, ""prunus serotina"")"
222,species_normalized,species_normalized,,mwanga,pericopsis angolensis,"tree_species_name_clean %in% c(""mwanga"")"
223,species_normalized,,pericopsis elata,,pericopsis elata,"str_detect(tree_species_name_clean, ""pericopsis elata"")"
224,species_normalized,,\btsimitetra\b|ilex mitis,,ilex mitis,"str_detect(tree_species_name_clean, ""\\btsimitetra\\b|ilex mitis"")"
225,species_normalized,,leucaena dephasfolia,,leucaena diversifolia,"str_detect(tree_species_name_clean, ""leucaena dephasfolia"")"
226,species_normalized,,cocoyam,,colocasia esculenta,"str_detect(tree_species_name_clean, ""cocoyam"")"
227,species_normalized,,entandrophragma angolense,,entandrophragma angolense,"str_detect(tree_species_name_clean, ""entandrophragma angolense"")"
228,species_normalized,,entandrophragma cylindricum|entandrophragma cilindricum,,entandrophragma cylindricum,"str_detect(           tree_species_name_clean,           ""entandrophragma cylindricum|entandrophragma cilindricum""         )"
229,species_normalized,,entandrophragma candelei|entandrophragma candollei|entendrophragma candellei|entendrophragma candolei,,entandrophragma candollei,"str_detect(           tree_species_name_clean,           ""entandrophragma candelei|entandrophragma candollei|entendrophragma candellei|entendrophragma candolei""         )"
230,species_normalized,,cedar \(entandrophragma\),,entandrophragma,"str_detect(tree_species_name_clean, ""cedar \\(entandrophragma\\)"")"
231,species_normalized,,allinum cepa|allunum cepa,,allium cepa,"str_detect(tree_species_name_clean, ""allinum cepa|allunum cepa"")"
232,species_normalized,,aloe africana|aloe europea,,aloe africana,"str_detect(tree_species_name_clean, ""aloe africana|aloe europea"")"
233,species_normalized,,aloe var barbadensis|aloe barbadensis,,aloe barbadensis,"str_detect(           tree_species_name_clean,           ""aloe var barbadensis|aloe barbadensis""         )"
234,species_normalized,,aloe var chinensis,,aloe chinensis,"str_detect(tree_species_name_clean, ""aloe var chinensis"")"
235,species_normalized,,aloe var secundiflora,,aloe secundiflora,"str_detect(tree_species_name_clean, ""aloe var secundiflora"")"
236,species_normalized,,avicenia germinans|avicinnia germinans,,avicennia germinans,"str_detect(           tree_species_name_clean,           ""avicenia germinans|avicinnia germinans""         )"
237,species_normalized,species_normalized,,avicennia || avicenna,avicennia,"tree_species_name_clean %in% c(""avicennia"", ""avicenna"")"
238,species_normalized,,carapa procera,,carapa procera,"str_detect(tree_species_name_clean, ""carapa procera"")"
239,species_normalized,,carapa grandiflora,,carapa grandiflora,"str_detect(tree_species_name_clean, ""carapa grandiflora"")"
240,species_normalized,,carapa guianensis,,carapa guianensis,"str_detect(tree_species_name_clean, ""carapa guianensis"")"
241,species_normalized,,cassia spectabilis,,cassia spectabilis,"str_detect(tree_species_name_clean, ""cassia spectabilis"")"
242,species_normalized,,cassia leiandra,,cassia leiandra,"str_detect(tree_species_name_clean, ""cassia leiandra"")"
243,species_normalized,,amaltas,,cassia fistula,"str_detect(tree_species_name_clean, ""amaltas"")"
244,species_normalized,,cordia africana|cordial africana|cordyla africana|wanza,,cordia africana,"str_detect(           tree_species_name_clean,           ""cordia africana|cordial africana|cordyla africana|wanza""         )"
245,species_normalized,,cordia sebestena,,cordia sebestena,"str_detect(tree_species_name_clean, ""cordia sebestena"")"
246,species_normalized,species_normalized,,cordia milleni & c africana,cordia milleni,"tree_species_name_clean %in% c(""cordia milleni & c africana"")"
247,species_normalized,,cordia goeldiana,,cordia goeldiana,"str_detect(tree_species_name_clean, ""cordia goeldiana"")"
248,species_normalized,,cucumber,,cucumis sativus,"str_detect(tree_species_name_clean, ""cucumber"")"
249,species_normalized,,eucalyptus gunnii,,eucalyptus gunnii,"str_detect(tree_species_name_clean, ""eucalyptus gunnii"")"
250,species_normalized,,hagenia abyssinica|hagenia abysinicca|hagenia habhysynica,,hagenia abyssinica,"str_detect(           tree_species_name_clean,           ""hagenia abyssinica|hagenia abysinicca|hagenia habhysynica""         )"
251,species_normalized,species_normalized,,indigofera so,indigofera,"tree_species_name_clean %in% c(""indigofera so"")"
252,species_normalized,,juniperus procera|african pencil-cedar|janiperus procera|juniperas procera|juniperous procera|juniperus procurus,,juniperus procera,"str_detect(           tree_species_name_clean,           ""juniperus procera|african pencil-cedar|janiperus procera|juniperas procera|juniperous procera|juniperus procurus""         )"
253,species_normalized,,juniperus virginiana,,juniperus virginiana,"str_detect(tree_species_name_clean, ""juniperus virginiana"")"
254,species_normalized,species_normalized,macadamia,macadamia,macadamia integrifolia,"tree_species_name_clean %in% c(""macadamia"") |           str_detect(tree_species_name_clean, ""macadamia"")"
255,species_normalized,,colophospermum mopane,,colophospermum mopane,"str_detect(tree_species_name_clean, ""colophospermum mopane"")"
256,species_normalized,,myrsine africana,,myrsine africana,"str_detect(tree_species_name_clean, ""myrsine africana"")"
257,species_normalized,,nuxia congesta,,nuxia congesta,"str_detect(tree_species_name_clean, ""nuxia congesta"")"
258,species_normalized,,pseudolachnostylis|pseuudolachnostylis,,pseudolachnostylis maprouneifolia,"str_detect(           tree_species_name_clean,           ""pseudolachnostylis|pseuudolachnostylis""         )"
259,species_normalized,,tropical almond|terminalia catappa,,terminalia catappa,"str_detect(tree_species_name_clean, ""tropical almond|terminalia catappa"")"
260,species_normalized,,albizia lebbeck,,albizia lebbeck,"str_detect(tree_species_name_clean, ""albizia lebbeck"")"
261,species_normalized,,albizia \(coriaria \),,albizia coriara,"str_detect(tree_species_name_clean, ""albizia \\(coriaria \\)"")"
262,species_normalized,,dombeya burgessiae,,dombeya burgessiae,"str_detect(tree_species_name_clean, ""dombeya burgessiae"")"
263,species_normalized,,dombeya torrida|dombeya goetzenii|dombeya goetzi|dombea torida|dombea toriida|dombeya \(mukeu\)|dombeya tarida|ndombeya,,dombeya torrida,"str_detect(           tree_species_name_clean,           ""dombeya torrida|dombeya goetzenii|dombeya goetzi|dombea torida|dombea toriida|dombeya \\(mukeu\\)|dombeya tarida|ndombeya""         )"
264,species_normalized,,monotes,,monotes africanus,"str_detect(tree_species_name_clean, ""monotes"")"
265,species_normalized,,pennisetum purpureum,,pennisetum purpureum,"str_detect(tree_species_name_clean, ""pennisetum purpureum"")"
266,species_normalized,,pennisetum pedicellatum,,pennisetum pedicellatum,"str_detect(tree_species_name_clean, ""pennisetum pedicellatum"")"
267,species_normalized,species_normalized,,podo carpus || podocupus || podocurpus mix || pordocapus,podocarpus,"tree_species_name_clean %in% c(""podo carpus"", ""podocupus"", ""podocurpus mix"", ""pordocapus"")"
268,species_normalized,,podo latifolia|podocarpus latifolia|podorcarpus latifolia|afrocarpus latifolia|afrocarpus latifolius,,podocarpus latifolius,"str_detect(           tree_species_name_clean,           ""podo latifolia|podocarpus latifolia|podorcarpus latifolia|afrocarpus latifolia|afrocarpus latifolius""         )"
269,species_normalized,,podocapus fulcatus|podocarpus falcatus|podorcarpus falcatus,,afrocarpus falcatus,"str_detect(           tree_species_name_clean,           ""podocapus fulcatus|podocarpus falcatus|podorcarpus falcatus""         )"
270,species_normalized,,podocapus elatus|podocarpus elatus,,podocarpus elatus,"str_detect(tree_species_name_clean, ""podocapus elatus|podocarpus elatus"")"
271,species_normalized,,podocarpus macrophyllus,,podocarpus macrophyllus,"str_detect(tree_species_name_clean, ""podocarpus macrophyllus"")"
272,species_normalized,species_normalized,schizolobium parahyba,schizolobium,schizolobium parahyba,"str_detect(tree_species_name_clean, ""schizolobium parahyba"")         |           tree_species_name_clean %in% c(""schizolobium"")"
273,species_normalized,species_normalized,zingiber|zingliber,zing || zi,zingiber officinale,"str_detect(tree_species_name_clean, ""zingiber|zingliber"") |           tree_species_name_clean %in% c(""zing"", ""zi"")"
274,species_normalized,species_normalized,royal pointiciana|flambodea|delonix regia,flamboyant,delonix regia,"str_detect(           tree_species_name_clean,           ""royal pointiciana|flambodea|delonix regia""         ) |           tree_species_name_clean %in% c(""flamboyant"")"
275,species_normalized,,cornius volkensi|cornus volkensii,,cornus volkensii,"str_detect(tree_species_name_clean, ""cornius volkensi|cornus volkensii"")"
276,species_normalized,,allophyllus abysssinica|allophylus abyssinicus,,allophylus abyssinicus,"str_detect(           tree_species_name_clean,           ""allophyllus abysssinica|allophylus abyssinicus""         )"
277,species_normalized,,manihot scleroxylon,,triplochiton scleroxylon,"str_detect(tree_species_name_clean, ""manihot scleroxylon"")"
278,species_normalized,,actinidia deliciosa,,actinidia deliciosa,"# might be incorrect - check with PM         str_detect(tree_species_name_clean, ""actinidia deliciosa"")"
279,species_normalized,,anthocleista shweinfurtii,,anthocleista schweinfurthii,"str_detect(tree_species_name_clean, ""anthocleista shweinfurtii"")"
280,species_normalized,,apodytis dimiata,,apodytes dimidiata,"str_detect(tree_species_name_clean, ""apodytis dimiata"")"
281,species_normalized,,jacaranda mimosifolia|jacaranda mimosaefolia,,jacaranda mimosifolia,"str_detect(           tree_species_name_clean,           ""jacaranda mimosifolia|jacaranda mimosaefolia""         )"
282,species_normalized,,jacarandar copaia,,jacaranda copaia,"str_detect(tree_species_name_clean, ""jacarandar copaia"")"
283,species_normalized,species_normalized,,boskia,boscia,"tree_species_name_clean %in% c(""boskia"")"
284,species_normalized,,breonadia salicina,,breonadia salicina,"str_detect(tree_species_name_clean, ""breonadia salicina"")"
285,species_normalized,,casuarina equisetifolia,,casuarina equisetifolia,"str_detect(tree_species_name_clean, ""casuarina equisetifolia"")"
286,species_normalized,,dobergia latifolia,,dalbergia latifolia,"str_detect(tree_species_name_clean, ""dobergia latifolia"")"
287,species_normalized,,aubregrinia taiensis,,aubregrinia taiensis,"str_detect(tree_species_name_clean, ""aubregrinia taiensis"")"
288,species_normalized,,faurea saligna,,faurea saligna,"str_detect(tree_species_name_clean, ""faurea saligna"")"
289,species_normalized,,pitacolumbium,,pithecellobium,"str_detect(tree_species_name_clean, ""pitacolumbium"")"
290,species_normalized,,harungana madagascariensis|harungana madagariensis|harongana madagascariensis|harrungana madagariensis|harungana madagarensis|haungana madagarensis,,harungana madagascariensis,"str_detect(           tree_species_name_clean,           ""harungana madagascariensis|harungana madagariensis|harongana madagascariensis|harrungana madagariensis|harungana madagarensis|haungana madagarensis""         )"
291,species_normalized,,intsia bijuga,,intsia bijuga,"str_detect(tree_species_name_clean, ""intsia bijuga"")"
292,species_normalized,,maesa lanceolata|maesa laseorata,,maesa lanceolata,"str_detect(tree_species_name_clean, ""maesa lanceolata|maesa laseorata"")"
293,species_normalized,,pittosporum verticilatum,,pittosporum verticilatum,"str_detect(tree_species_name_clean, ""pittosporum verticilatum"")"
294,species_normalized,,meru oak,,vitex keniensis,"str_detect(tree_species_name_clean, ""meru oak"")"
295,species_normalized,,mexican green ash,,fraxinus berlandieriana,"str_detect(tree_species_name_clean, ""mexican green ash"")"
296,species_normalized,,myrianthus holstii,,myrianthus holstii,"str_detect(tree_species_name_clean, ""myrianthus holstii"")"
297,species_normalized,,mytragyna rubrostipulata,,mytragyna rubrostipulata,"str_detect(tree_species_name_clean, ""mytragyna rubrostipulata"")"
298,species_normalized,,alstonia bronei,,alstonia boonei,"str_detect(tree_species_name_clean, ""alstonia bronei"")"
299,species_normalized,,afzelia africana,,afzelia africana,"str_detect(tree_species_name_clean, ""afzelia africana"")"
300,species_normalized,,afzelia xylocarpa,,afzelia xylocarpa,"str_detect(tree_species_name_clean, ""afzelia xylocarpa"")"
301,species_normalized,,pinus patula,,pinus patula,"str_detect(tree_species_name_clean, ""pinus patula"")"
302,species_normalized,,pinus kesiya,,pinus kesiya,"str_detect(tree_species_name_clean, ""pinus kesiya"")"
303,species_normalized,,polycias fluva|polycias fulva|polyscians fulva|polyscias fulva,,polyscias fulva,"str_detect(           tree_species_name_clean,           ""polycias fluva|polycias fulva|polyscians fulva|polyscias fulva""         )"
304,species_normalized,,polyscias kikuyuensis|polycius kikuyuensis,,polyscias kikuyuensis,"str_detect(           tree_species_name_clean,           ""polyscias kikuyuensis|polycius kikuyuensis""         )"
305,species_normalized,,porospermum atrorufum,,osteospermum atrorufum,"str_detect(tree_species_name_clean, ""porospermum atrorufum"")"
306,species_normalized,,canarium madagascariensis,,canarium madagascariensis,"str_detect(tree_species_name_clean, ""canarium madagascariensis"")"
307,species_normalized,species_normalized,,raspberry,rubus,"tree_species_name_clean %in% c(""raspberry"")"
308,species_normalized,,tamarindus indica|tamarindas indica|tamarids|tamarinds,,tamarindus indica,"str_detect(           tree_species_name_clean,           ""tamarindus indica|tamarindas indica|tamarids|tamarinds""         )"
309,species_normalized,,tarconanthus littiveli,,tarchonanthus littoralis,"str_detect(tree_species_name_clean, ""tarconanthus littiveli"")"
310,species_normalized,,zanthoxylum gillettii,,zanthoxylum gillettii,"str_detect(tree_species_name_clean, ""zanthoxylum gillettii"")"
311,species_normalized,species_normalized,tephrosia \(umuhunwa \),tephrosia || tephrosia sp,tephrosia,"str_detect(tree_species_name_clean, ""tephrosia \\(umuhunwa \\)"") |           tree_species_name_clean %in% c(""tephrosia"", ""tephrosia sp"")"
312,species_normalized,,calliandra callystrusus|calliandra collonthysus|calliandra calothyrsys|calliandra calothyrusus|calliandra calothysurs,,calliandra calothyrsus,"str_detect(           tree_species_name_clean,           ""calliandra callystrusus|calliandra collonthysus|calliandra calothyrsys|calliandra calothyrusus|calliandra calothysurs""         )"
313,species_normalized,,raminhus perdinious,,rhamnus prinoides,"str_detect(tree_species_name_clean, ""raminhus perdinious"")"
314,species_normalized,,brachlaena hutchinsii,,brachylaena hutchinsii,"str_detect(tree_species_name_clean, ""brachlaena hutchinsii"")"
315,species_normalized,,sterculia africana,,sterculia africana,"str_detect(tree_species_name_clean, ""sterculia africana"")"
316,species_normalized,,excelsa sterculia,,sterculia excelsa,"str_detect(tree_species_name_clean, ""excelsa sterculia"")"
317,species_normalized,,xeroderris stuhlmannii|xeroderis shulmanai,,xeroderris stuhlmannii,"str_detect(           tree_species_name_clean,           ""xeroderris stuhlmannii|xeroderis shulmanai""         )"
318,species_normalized,,matilisguate|matilis guate|taubebia rosae|tabeiua rosea|tabeuia rosea,,tabebuia rosea,"str_detect(           tree_species_name_clean,           ""matilisguate|matilis guate|taubebia rosae|tabeiua rosea|tabeuia rosea""         )"
319,species_normalized,species_normalized,,cortez,tabebuia ochracea,"tree_species_name_clean %in% c(""cortez"")"
320,species_normalized,species_normalized,,encino,quercus virginiana,"tree_species_name_clean %in% c(""encino"")"
321,species_normalized,species_normalized,,pino || puno,pinus,"tree_species_name_clean %in% c(""pino"", ""puno"")"
322,species_normalized,species_normalized,,rosul,dalbergia tucarensis,"tree_species_name_clean %in% c(""rosul"")"
323,species_normalized,,dalbergia sissoo|sheesham,,dalbergia sissoo,"str_detect(tree_species_name_clean, ""dalbergia sissoo|sheesham"")"
324,species_normalized,species_normalized,,santa maria,calophyllum antillanum,"tree_species_name_clean %in% c(""santa maria"")"
325,species_normalized,species_normalized,,calophylon,calophyllum,"tree_species_name_clean %in% c(""calophylon"")"
326,species_normalized,species_normalized,,zapote de agua || pachyra aquatica || zapote de aqua,pachira aquatica,"tree_species_name_clean %in% c(""zapote de agua"", ""pachyra aquatica"", ""zapote de aqua"")"
327,species_normalized,species_normalized,madhuca indica|madhuca longifolia,mahua,madhuca longifolia,"str_detect(tree_species_name_clean, ""madhuca indica|madhuca longifolia"") |           tree_species_name_clean %in% c(""mahua"")"
328,species_normalized,,bombax ceiba,,bombax ceiba,"str_detect(tree_species_name_clean, ""bombax ceiba"")"
329,species_normalized,,acokanthera oppositifolia|acorcotheria oppositifolia,,acokanthera oppositifolia,"str_detect(tree_species_name_clean, ""acokanthera oppositifolia|acorcotheria oppositifolia"")"
330,species_normalized,,afzelia bignioides|afzelia bipidoides,,afzelia bipindensis,"str_detect(           tree_species_name_clean,           ""afzelia bignioides|afzelia bipidoides""         )"
331,species_normalized,,staudtia camerounensis|staudtia kamerounensis,,staudtia kamerunensis,"str_detect(           tree_species_name_clean,           ""staudtia camerounensis|staudtia kamerounensis""         )"
332,species_normalized,,nauclia dideritchii,,nauclea diderrichii,"str_detect(tree_species_name_clean, ""nauclia dideritchii"")"
333,species_normalized,,aegiceras corniculatum,,aegiceras corniculatum,"str_detect(tree_species_name_clean, ""aegiceras corniculatum"")"
334,species_normalized,,amburana cearensis,,amburana cearensis,"str_detect(tree_species_name_clean, ""amburana cearensis"")"
335,species_normalized,,anadenanthera colubrina,,anadenanthera colubrina,"str_detect(tree_species_name_clean, ""anadenanthera colubrina"")"
