tree_species_uuid,name_clean
962451b7-d6ed-4e35-aa2c-7bcf05ef2ba9,Acacia
6fb1ef2f-0393-482a-a9c9-7940f5a9cdf8,Acacia
ee61b082-4c96-481e-8c2b-944a34ece17e,Acacia
05a084fa-7e25-4419-bca2-4289efc65cd9,Acacia
f3b05fa6-82df-4f51-9274-17e1dc6c650a,Acacia
61a0a47d-f79f-44ea-afae-388c8dc0a47e,Acacia
ec9d3b6f-2d97-4895-91cf-dd4be87d0c0c,Acacia
8a8511d0-e98a-4de7-a327-e728475a5d00,Acacia
f3988983-251d-4e77-928d-c3160cdd1541,Acacia
145d5a24-31ac-42e8-9673-ea5b71ff5230,Acacia
f0e10728-2c76-4346-9c6e-689d84009b90,Acacia
dec90e5e-8a4f-4832-9ea7-1ca8fc5d9ddb,Acacia
0ef47510-3261-4b1a-8149-7253c6281c0e,Acacia
e4b74d51-cc9b-4257-a3c8-f1c3e591fc7f,Acacia (acacia )
ccbf185b-cdfc-453f-b688-5239ba7664bb,Acacia abyssinia
972c361f-a220-4a78-806c-36105ab599de,Acacia abyssinia
b13de471-7899-48cb-97b8-db83cc17ca0d,Acacia albida
45ac466b-8598-49ad-ae78-cc07597153b5,Acacia albida
820dd52c-4114-4aae-8888-d46f952704f4,Acacia albida
e16eb01f-c211-4ad8-abfa-3a77b4d93c10,Acacia albida
908f0c36-574c-4dbe-a175-a83b604740a3,Acacia albida
37660761-588c-415a-9663-2083bec7dd22,Acacia albida
158295a7-7469-497c-9c4b-79c7ae176422,Acacia albida
a73629dd-5961-4dc8-ba3d-02103d42dec1,Acacia albida
3266006c-bec1-4c8a-b835-0a60d8c7a046,Acacia albida
be49d73a-d687-48fa-acf8-770bd8719577,Acacia albida
cd53b45e-a17f-4bc3-bbe5-00b4a261c648,Acacia albida
6698d25c-e630-45b3-bb2d-7bedd7c7cb77,Acacia albida
befe3ce4-b88c-47ca-868c-10e9be07ca75,Acacia albida
aa499d9b-e942-42ea-8723-35aaed5d03d1,Acacia albida
f6252e6e-7268-45ed-971c-124c92152a56,Acacia albida
9dad652c-50c1-4f2c-acfd-7a59cd93ec04,Acacia angustissima
fc861fe4-f3a0-4b7e-b5d5-e55df064a6cb,Acacia angustissima
4130fcce-36df-4c9c-a4de-8cf2abca7739,Acacia angustissima
d8473cf6-8954-4553-bf94-7774956ce3be,Acacia angustissima
4644d0fe-9c15-4ff8-8230-3e4b1ebda714,Acacia ataxacantha
59320111-941c-4baa-816f-97e45a0a9a76,Acacia decurrens
5316c563-9caf-4d16-b553-93b278dfbbd6,Acacia erioloba
8a64c378-a80f-4005-b7b5-26a40e716dfe,Acacia erioloba
4226bd4b-822d-48b7-907e-b48f890d46c7,Acacia erioloba
d6c8176c-a042-4db5-8480-15e25a33e35f,Acacia erioloba
e0740481-5b34-49ca-9e02-7f8b82d84806,Acacia erioloba
c6dd3e01-677b-4f46-a7b0-0344e7653460,Acacia erioloba
5adfcb90-477d-4189-a7f5-d4305a397c18,Acacia erioloba
1036832c-0b32-4ddf-9311-3c5dab8c9a65,Acacia erioloba
19cf3d32-e905-4d67-b6aa-19a114d26e54,Acacia erioloba
fc145058-8a14-477f-bc64-75daedb24cc6,Acacia erioloba
63954523-e665-4df0-a6db-7e0cb540c2bd,Acacia erioloba
36ed900d-3cb4-4323-b8ef-12597dfbee30,Acacia erioloba
94fee1e9-863e-4a97-8e95-edb69353f7ed,Acacia gerradii
2d97bdf6-0f33-4662-820d-04456207986a,Acacia gerradii
0ebf0708-4718-48eb-ad7b-e4cc20db754f,Acacia gerrardii
53edb791-58f6-4d18-b037-9d412641287f,Acacia gerrardii
2f490a5c-bc86-46fe-be50-f66b73b9496e,Acacia karoo
a993bbae-5b52-43e5-b05b-35ed0223ba87,Acacia karoo
87053cf5-ba07-4dde-be54-c3cd6bfee958,Acacia karoo
